Text,Label1,Label2
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
RT @terbucinz DUA TOKOH INI SALING MELENGKAPI DAN SANGAT IDEAL JIKA DISANDINGKAN. Semoga Pak @ganjarpranowo dan Pak @erickthohir bisa disandingkan di pilpres 2024. Sesuai keinginan rakyat Indonesia. https://t.co/pHt4bjGTdh,3,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @mahasiswigenz Bohir wan ngibul, pendukung Taliban & oportunis Mulai playing victim kaya si kebo https://t.co/sMSU7MiJtt",4,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @03__nakula Ganjar pranowo - Erick Thohir ( GAET) jadi duet terkuat hasil lembaga survei Charta Politika mengalahkan Prabowo - Muhaimin dan Anies - AHY. Wajar jika mereka menang survei dan PilPres 2024 nanti, Keduanya punya kinerja yang baik, anti korupsi dan radikalisme. #BangkitBersamaET https://t.co/pglDMYfqPZ",3,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
Bandar besar sudah bersabda dan jaringan DMI pasti sudah siap bekerja. Politik identitas semakin mengemuka demi cuan proyek kalau menang. https://t.co/d2613Klj6Z,4,2
RT @mantanBCL Aku sih iyesss pak @ganjarpranowo duet dengan pak @erickthohir di pilpres 2024 nanti. Erick Thohir #BangkitBersamaET https://t.co/mHBMcBCNzM,3,1
